,Survived,Pclass,Sex,SibSp,Parch,Fare,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,age_group_10-20,age_group_20-30,age_group_30-40,age_group_40-50,age_group_50-60,age_group_60-70,age_group_70+,"FareBin_(7.854, 10.5]","FareBin_(10.5, 21.679]","FareBin_(21.679, 39.688]","FareBin_(39.688, 512.329]"
0,0,3,0,1,0,7.25,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,71.2833,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
2,1,3,1,0,0,7.925,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3,1,1,1,1,0,53.1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
4,0,3,0,0,0,8.05,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
5,0,3,0,0,0,8.4583,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
6,0,1,0,0,0,51.8625,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
7,0,3,0,3,1,21.075,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,1,3,1,0,2,11.1333,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
9,1,2,1,1,0,30.0708,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
10,1,3,1,1,1,16.7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,1,1,1,0,0,26.55,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
12,0,3,0,0,0,8.05,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
13,0,3,0,1,5,31.275,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
14,0,3,1,0,0,7.8542,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15,1,2,1,0,0,16.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
16,0,3,0,4,1,29.125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,1,2,0,0,0,13.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
18,0,3,1,1,0,18.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
19,1,3,1,0,0,7.225,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
20,0,2,0,0,0,26.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
21,1,2,0,0,0,13.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
22,1,3,1,0,0,8.0292,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
23,1,1,0,0,0,35.5,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
24,0,3,1,3,1,21.075,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25,1,3,1,1,5,31.3875,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
26,0,3,0,0,0,7.225,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
27,0,1,0,3,2,263.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
28,1,3,1,0,0,7.8792,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
29,0,3,0,0,0,7.8958,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
30,0,1,0,0,0,27.7208,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
31,1,1,1,1,0,146.5208,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
32,1,3,1,0,0,7.75,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
33,0,2,0,0,0,10.5,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
34,0,1,0,1,0,82.1708,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
35,0,1,0,1,0,52.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
36,1,3,0,0,0,7.2292,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
37,0,3,0,0,0,8.05,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
38,0,3,1,2,0,18.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
39,1,3,1,1,0,11.2417,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
40,0,3,1,1,0,9.475,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
41,0,2,1,1,0,21.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
42,0,3,0,0,0,7.8958,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
43,1,2,1,1,2,41.5792,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,1,3,1,0,0,7.8792,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
45,0,3,0,0,0,8.05,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
46,0,3,0,1,0,15.5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
47,1,3,1,0,0,7.75,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
48,0,3,0,2,0,21.6792,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
49,0,3,1,1,0,17.8,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
50,0,3,0,4,1,39.6875,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
51,0,3,0,0,0,7.8,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
52,1,1,1,1,0,76.7292,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
53,1,2,1,1,0,26.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
54,0,1,0,0,1,61.9792,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
55,1,1,0,0,0,35.5,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
56,1,2,1,0,0,10.5,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
57,0,3,0,0,0,7.2292,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
58,1,2,1,1,2,27.75,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
59,0,3,0,5,2,46.9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
60,0,3,0,0,0,7.2292,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
61,1,1,1,0,0,80.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
62,0,1,0,1,0,83.475,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
63,0,3,0,3,2,27.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
64,0,1,0,0,0,27.7208,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
65,1,3,0,1,1,15.2458,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
66,1,2,1,0,0,10.5,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
67,0,3,0,0,0,8.1583,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
68,1,3,1,4,2,7.925,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
69,0,3,0,2,0,8.6625,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
70,0,2,0,0,0,10.5,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
71,0,3,1,5,2,46.9,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
72,0,2,0,0,0,73.5,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
73,0,3,0,1,0,14.4542,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
74,1,3,0,0,0,56.4958,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
75,0,3,0,0,0,7.65,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
76,0,3,0,0,0,7.8958,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
77,0,3,0,0,0,8.05,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
78,1,2,0,0,2,29.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
79,1,3,1,0,0,12.475,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
80,0,3,0,0,0,9.0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
81,1,3,0,0,0,9.5,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
82,1,3,1,0,0,7.7875,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
83,0,1,0,0,0,47.1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
84,1,2,1,0,0,10.5,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
85,1,3,1,3,0,15.85,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
86,0,3,0,1,3,34.375,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
